Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,22,FTW,NBA,,62,NA,NA,0.423,0.48,NA,NA,NA,NA,NA,2.1,3,5,NA
1950-51,23,TOT,NBA,,56,NA,NA,0.402,0.431,NA,NA,NA,NA,NA,0.2,0.8,1,NA
1950-51,23,FTW,NBA,,12,NA,NA,0.312,0.351,NA,NA,NA,NA,NA,-0.4,0.2,-0.2,NA
1950-51,23,BOS,NBA,,44,NA,NA,0.423,0.45,NA,NA,NA,NA,NA,0.6,0.6,1.2,NA
1951-52,24,BOS,NBA,PF,66,1899,14.1,0.463,0.451,NA,NA,NA,NA,NA,2.2,2.1,4.3,0.11
1952-53,25,BOS,NBA,SF,70,1971,12.6,0.463,0.492,NA,NA,NA,NA,NA,2,1.5,3.4,0.084
1953-54,26,BOS,NBA,SF,71,1898,11,0.433,0.421,NA,NA,NA,NA,NA,0.8,1.1,1.9,0.048
Career,NA,,NBA,,325,5768,12.6,0.44,0.458,NA,NA,NA,NA,NA,7.3,8.4,15.7,0.081
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,251,5768,12.6,0.449,0.455,NA,NA,NA,NA,NA,5.6,5.2,10.8,0.081
2 seasons,NA,FTW,NBA,,74,NA,NA,0.411,0.466,NA,NA,NA,NA,NA,1.7,3.2,4.9,NA
