Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Goose Ligon,,9.9,9.7,6.5,6.3,2.4,1,0.3,NA,NA,NA
John Beasley,81.8,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA
Josh Howard,81.1,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Trooper Washington,79.0,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Fred Schaus,77.8,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
Otto Porter,77.7,9.4,8.1,5.6,3.2,2.7,0,NA,NA,NA,NA
Arnie Johnson,77.3,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA,NA
Kermit Washington,77.0,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Draymond Green,76.7,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA,NA
Khris Middleton,75.4,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Willie Wise,72.5,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0,NA
