Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Goose Ligon,,9.9,9.7,6.5,6.3,2.4,1,0.3
Bob Love,89.5,9.9,8.6,7.5,6.3,1,0.6,0.2
Toni Kukoč,84.5,10.1,10,7,6.9,3.4,3.2,2.8
Lamar Odom,84.5,9.2,8.4,6.5,4.7,3.2,2.2,0.7
Steve Mix,84.3,9.4,8.2,6.5,5.1,1.3,0.4,-0.3
Bryon Russell,83.2,8.8,7.4,6,5.6,2.1,1.4,0.8
Derrick Coleman,83.1,9.9,9.5,5.8,5.6,5.1,3.3,-0.2
Vin Baker,82.6,10.4,8.3,6.2,5.8,4.4,3.5,0.4
Josh Howard,82.5,8.8,8,6.7,6.4,3.5,3.2,1
Ben Wallace,82.1,11.6,10.6,7,5.6,3.6,2.9,-0.2
John Beasley,81.8,8.9,8.1,8,6.8,3.3,2,0.8
