Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jeff Turner,,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.1,-0.2,-0.2,NA
Marty Conlon,79.6,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1,NA,NA
Mark Madsen,77.1,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,NA,NA
Jeremy Evans,76.5,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA,NA
Jarvis Hayes,73.7,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA,NA
Wesley Johnson,72.9,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA
Quincy Acy,72.8,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA,NA
Ryan Bowen,71.0,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
Jason Kapono,71.0,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2,NA,NA
Charles Shackleford,70.7,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA,NA,NA
Scott Hastings,70.0,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
