Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Lawrence Moten,,0.6,-0.1,-0.4
Ron Davis,11.2,0.6,-0.1,-0.4
Tyler Ulis,-35.4,0.7,0,-0.2
Darrun Hilliard,-37.8,0.5,0,-0.2
Clay Johnson,-49.5,0.6,0.1,0
Carl Thomas,-49.5,0.7,0,0
Paul McCracken,-50.7,0.5,0,0
Phil Pressey,-56.9,0.8,0.1,-0.1
Othyus Jeffers,-58.9,0.7,0.1,0.1
Tom Ingelsby,-59.0,0.7,0.1,0
Sergey Karasev,-59.2,0.7,0.3,-0.1
