,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,29,PTP,ABA,,5,,0,,,,2,5,,,,,,,11
1968-69,30,MNP,ABA,,3,,0,,,,0,3,,,,,,,6
Career,,,,,5,,0,,,,2,5,,,,,,,11
