,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,24,PHO,NBA,PG,23,384,.476,6.5,.790,.677,.089,.024,.000,.210,.541,.607,.091,.333,,.231,.321,.081,9,1.000,.269,.429,1,0
2018-19,25,CHI,NBA,SG,73,1430,.432,8.4,.791,.528,.185,.052,.026,.209,.475,.578,.291,.227,.182,.270,.388,.038,14,.875,.337,.267,3,0
2019-20,26,CHI,NBA,SF,43,484,.467,9.1,.745,.515,.170,.048,.012,.255,.496,.576,.286,.500,.000,.381,.508,.030,5,.813,.381,.313,2,0
Career,,,NBA,,139,2298,.448,8.2,.780,.551,.165,.046,.018,.220,.491,.584,.271,.303,.154,.293,.401,.043,28,.870,.338,.302,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,116,1914,.442,8.6,.778,.525,.181,.051,.022,.222,.480,.577,.290,.300,.154,.305,.421,.036,19,.850,.351,.283,5,0
1 season,,PHO,NBA,,23,384,.476,6.5,.790,.677,.089,.024,.000,.210,.541,.607,.091,.333,,.231,.321,.081,9,1.000,.269,.429,1,0
