Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Otis Birdsong,,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0,-0.1,-0.1
John Wall,89.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA,NA
Jon McGlocklin,88.8,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA
Doug Christie,87.9,8.9,8.7,8.6,7,5.7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Brian Taylor,87.8,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA
Paul Pressey,87.4,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA
Avery Johnson,87.3,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Sleepy Floyd,86.2,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9,-0.4
Alvin Robertson,85.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA,NA
Michael Adams,85.2,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA
Lucius Allen,85.2,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA,NA
