Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
DeAndre' Bembry,,0.9,0.3,-0.4
Terence Morris,62.8,0.9,0.2,-0.1
Jim Tucker,57.6,1,0.3,0
Jeffery Taylor,55.1,1.2,0.3,-0.2
Žarko Čabarkapa,53.9,1.3,0.3,-0.4
Jackie Moore,50.3,0.9,0.5,NA
Darnell Jackson,49.1,0.8,0.7,-0.3
Glenn McDonald,49.1,1.1,0.2,-0.2
Kenny Dennard,47.1,1.1,0.3,0.1
Bob Peterson,47.1,0.9,0.4,0.2
Ivano Newbill,42.9,1.1,0.1,-0.1
