Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
George Lee,,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Lou Amundson,87.0,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
James Hardy,86.6,2.5,1.8,1.3,0.7,NA,NA,NA,NA,NA,NA
Rory White,86.0,2.6,1.5,1,1,0.4,NA,NA,NA,NA,NA
Kevin Séraphin,85.0,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA,NA
Sam Mack,84.4,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA,NA,NA
Ike Diogu,84.1,2.6,1.5,1,0.7,0.7,0,NA,NA,NA,NA
Mark Strickland,83.1,2.8,2.2,1,0.6,0.5,0,0,0,NA,NA
Lorenzo Williams,81.8,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Chris Crawford,81.6,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA,NA
Brady Walker,81.5,2.8,1.9,1.2,1,NA,NA,NA,NA,NA,NA
