Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,21,TOT,NBA,PF,8,0,16,9,18,0.5,0,0,NA,9,18,0.5,6.8,6.8,1,6.8,11.3,18,0,0,0,9,4.5,24.8
1986-87,21,ATL,NBA,PF,6,0,10,7.2,18,0.4,0,0,NA,7.2,18,0.4,3.6,3.6,1,7.2,3.6,10.8,0,0,0,3.6,3.6,18
1986-87,21,MIL,NBA,PF,2,0,6,12,18,0.667,0,0,NA,12,18,0.667,12,12,1,6,24,30,0,0,0,18,6,36
Career,NA,,NBA,,8,0,16,9,18,0.5,0,0,NA,9,18,0.5,6.8,6.8,1,6.8,11.3,18,0,0,0,9,4.5,24.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,6,0,10,7.2,18,0.4,0,0,NA,7.2,18,0.4,3.6,3.6,1,7.2,3.6,10.8,0,0,0,3.6,3.6,18
1 season,NA,MIL,NBA,,2,0,6,12,18,0.667,0,0,NA,12,18,0.667,12,12,1,6,24,30,0,0,0,18,6,36
