Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
George Zídek,,0.6,0.3,0,NA,NA
Alan Ogg,79.2,0.5,0.3,0,NA,NA
Matt Fish,74.9,0.4,0.2,0,NA,NA
Chris Welp,74.2,0.7,0.3,0,NA,NA
Daniel Orton,59.1,0.5,0.3,0.3,NA,NA
Kyrylo Fesenko,58.5,0.6,0.3,0.1,0,-0.1
Oleksiy Pecherov,54.5,0.5,0.1,0,NA,NA
Jabari Smith,51.1,0.7,0.5,0.2,0,NA
Patrick O'Bryant,42.8,0.3,0.2,0,0,NA
Shawnelle Scott,41.6,0.5,0.4,0.2,0.2,NA
Dexter Pittman,39.2,0.6,0,-0.1,-0.1,NA
