,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,23,NYA,ABA,,8,,0,,,,7,13,,,,,,,18
1970-71,24,NYA,ABA,,8,,0,,,,4,10,,,,,,,16
1972-73,26,PHI,NBA,,0,4,,,,,1,4,,,2,0,,1,1
Career,,,TOT,,8,,,,,,7,13,,,,,,,18
,,,NBA,,0,4,,,,,1,4,,,2,0,,1,1
,,,ABA,,8,,0,,,,7,13,,,,,,,18
,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYA,ABA,,8,,0,,,,7,13,,,,,,,18
1 Season,,PHI,NBA,,0,4,,,,,1,4,,,2,0,,1,1
