Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Bradley,,2.3,1.3,0.1,NA,NA
Kenny Battle,83.6,1.9,1.3,0.3,0.1,NA
Jim Palmer,82.3,2.4,1.9,0.2,NA,NA
Joe Holup,81.2,2.1,1.8,0.3,NA,NA
Rudy Macklin,81.1,1.8,1.4,0.1,NA,NA
Derrick Brown,80.1,2.3,1.3,1,NA,NA
Bernard Thompson,78.5,2.1,0.9,0.2,0.1,0
Charlie Hardnett,77.8,2.3,1,-0.3,NA,NA
Jon Brockman,77.4,1.9,1.7,0.1,NA,NA
Chris Copeland,77.4,2.1,1,-0.1,-0.1,NA
Ryan Kelly,76.7,2.2,0.7,0.1,0.1,NA
