Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,21,BOS,BAA,,60,NA,NA,246,768,0.32,128,189,0.677,NA,62,130,620
1947-48,22,TOT,BAA,,45,NA,NA,162,545,0.297,62,108,0.574,NA,24,122,386
1947-48,22,BOS,BAA,,32,NA,NA,108,366,0.295,32,54,0.593,NA,17,82,248
1947-48,22,BLB,BAA,,13,NA,NA,54,179,0.302,30,54,0.556,NA,7,40,138
1948-49,23,BLB,BAA,,60,NA,NA,299,794,0.377,181,265,0.683,NA,116,215,779
1949-50,24,NYK,NBA,,60,NA,NA,241,729,0.331,198,299,0.662,NA,102,203,680
1950-51,25,NYK,NBA,,66,NA,NA,229,613,0.374,146,208,0.702,426,117,222,604
1951-52,26,NYK,NBA,C,66,NA,1558,227,600,0.378,175,254,0.689,471,121,214,629
1952-53,27,NYK,NBA,C,65,NA,1707,240,637,0.377,249,340,0.732,458,127,252,729
1953-54,28,NYK,NBA,C,72,NA,2006,255,713,0.358,210,305,0.689,484,128,234,720
1954-55,29,TOT,NBA,C,36,NA,862,137,384,0.357,72,114,0.632,220,61,109,346
1954-55,29,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,SYR,NBA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,30,ROC,NBA,PF,68,NA,903,144,428,0.336,78,129,0.605,235,82,142,366
Career,NA,,TOT,,598,NA,7036,2180,6211,0.351,1499,2211,0.678,2294,940,1843,5859
,NA,,NBA,,433,NA,7036,1473,4104,0.359,1128,1649,0.684,2294,738,1376,4074
,NA,,BAA,,165,NA,NA,707,2107,0.336,371,562,0.66,NA,202,467,1785
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,329,NA,5271,1192,3292,0.362,978,1406,0.696,1839,595,1125,3362
2 seasons,NA,BOS,BAA,,92,NA,NA,354,1134,0.312,160,243,0.658,NA,79,212,868
3 seasons,NA,BLB,BAA,,73,NA,NA,353,973,0.363,211,319,0.661,NA,123,255,917
1 season,NA,ROC,NBA,,68,NA,903,144,428,0.336,78,129,0.605,235,82,142,366
1 season,NA,SYR,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
