Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Connie Simmons,,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA
Kendrick Perkins,89.2,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.7,0.1
Chris Andersen,87.9,5.9,5.4,4.5,3.2,2.4,1.9,1.3,1.1,0.3,0
Matt Geiger,85.0,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
JaVale McGee,84.6,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Gorgui Dieng,84.3,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA
Will Perdue,83.4,4.7,4.7,4.4,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
Herb Williams,83.0,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4
Sam Bowie,82.5,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Kent Benson,82.4,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1
Channing Frye,82.2,6.4,5.3,4.7,3.7,3.5,3.2,3,2.1,0.9,0.8
