Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,21,BOS,BAA,,60,NA,NA,0.364,0.246,NA,NA,NA,NA,NA,5.2,0.9,6.1,NA
1947-48,22,TOT,BAA,,45,NA,NA,0.326,0.198,NA,NA,NA,NA,NA,0.6,0.5,1.1,NA
1947-48,22,BOS,BAA,,32,NA,NA,0.318,0.148,NA,NA,NA,NA,NA,0.2,0.2,0.3,NA
1947-48,22,BLB,BAA,,13,NA,NA,0.34,0.302,NA,NA,NA,NA,NA,0.5,0.3,0.8,NA
1948-49,23,BLB,BAA,,60,NA,NA,0.428,0.334,NA,NA,NA,NA,NA,4.4,0.9,5.3,NA
1949-50,24,NYK,NBA,,60,NA,NA,0.395,0.41,NA,NA,NA,NA,NA,0.9,1.5,2.4,NA
1950-51,25,NYK,NBA,,66,NA,NA,0.429,0.339,NA,NA,NA,NA,NA,1.6,1,2.6,NA
1951-52,26,NYK,NBA,C,66,1558,17.7,0.442,0.423,NA,NA,NA,NA,NA,1.8,1.5,3.3,0.102
1952-53,27,NYK,NBA,C,65,1707,18.9,0.463,0.534,NA,NA,NA,NA,NA,3,2.7,5.7,0.159
1953-54,28,NYK,NBA,C,72,2006,14.8,0.425,0.428,NA,NA,NA,NA,NA,1,1.5,2.5,0.059
1954-55,29,TOT,NBA,C,36,862,NA,0.398,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,29,SYR,NBA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,30,ROC,NBA,PF,68,903,10.8,0.378,0.301,NA,NA,NA,NA,NA,-1.4,1.5,0.1,0.003
Career,NA,,TOT,,598,7036,16.1,0.408,0.356,NA,NA,NA,NA,NA,17.1,11.9,29,0.078
,NA,,NBA,,433,7036,16.1,0.422,0.402,NA,NA,NA,NA,NA,6.9,9.6,16.5,0.078
,NA,,BAA,,165,NA,NA,0.379,0.267,NA,NA,NA,NA,NA,10.3,2.3,12.5,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,329,5271,17,0.43,0.427,NA,NA,NA,NA,NA,8.3,8.1,16.4,0.104
2 seasons,NA,BOS,BAA,,92,NA,NA,0.35,0.214,NA,NA,NA,NA,NA,5.4,1.1,6.5,NA
3 seasons,NA,BLB,BAA,,73,NA,NA,0.412,0.328,NA,NA,NA,NA,NA,4.9,1.2,6.1,NA
1 season,NA,ROC,NBA,,68,903,10.8,0.378,0.301,NA,NA,NA,NA,NA,-1.4,1.5,0.1,0.003
1 season,NA,SYR,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
