Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Connie Simmons,,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA,NA,NA
Kendrick Perkins,87.3,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1,0,-0.1
Matt Geiger,85.0,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA,NA,NA,NA
Gorgui Dieng,84.3,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA
JaVale McGee,84.3,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1,NA,NA,NA
Sam Bowie,82.5,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA,NA,NA,NA
Kent Benson,82.4,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0,NA,NA,NA
Will Perdue,81.7,4.7,4.7,4.4,3.4,2.5,2.5,2.3,1.5,0.5,0.3,0.2,-0.1,-0.5,NA
Roy Hibbert,80.9,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA,NA,NA,NA,NA
Joe Barry Carroll,80.7,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA,NA,NA,NA
Cody Zeller,80.2,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA
