,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1947-48,22,TOT,BAA,,13,,9,13,,,,34
1947-48,22,BLB,BAA,,13,,9,13,,,,34
1948-49,23,BLB,BAA,,6,,10,11,,,5,22
1949-50,24,NYK,NBA,,4,13,9,9,,2,6,10
1950-51,25,NYK,NBA,,9,,8,11,,,6,26
1951-52,26,NYK,NBA,,10,,10,11,,,6,30
1952-53,27,NYK,NBA,,8,,11,14,,,6,25
1953-54,28,NYK,NBA,,4,11,7,11,,3,6,14
Career,,,TOT,,13,,11,14,,,,34
,,,NBA,,10,,11,14,,,6,30
,,,BAA,,13,,10,13,,,,34
,,,,,,,,,,,,
5 Seasons,,NYK,NBA,,10,,11,14,,,6,30
2 Seasons,,BLB,BAA,,13,,10,13,,,,34
