Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Andre Drummond,,10.3,10,9.9,7.7,7.4,6.7,4.5
Clyde Lovellette,91.6,10.1,9,8.5,8.2,8.1,6.5,5.2
Bill Laimbeer,91.2,10.8,10.5,9.8,9.2,8.5,5.4,4.7
Marc Gasol,90.7,11.5,10.2,8.4,8.2,7.9,6.4,5.6
Alonzo Mourning,89.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3
Dikembe Mutombo,89.8,11.3,10.8,9.4,8.8,8.7,7.6,4.8
Dave Cowens,88.4,12,10.7,10.4,9.5,9.3,6.4,4.4
Jack Sikma,87.9,12.6,9.8,9.7,8.8,8.6,8,5.4
Mel Daniels,87.7,11.4,10.3,9.2,9.2,8.6,8.6,5.4
Robert Parish,87.7,10.9,10.8,10,7.1,4.8,4.6,4
Zelmo Beaty,86.9,11.8,10.8,10.3,8.4,5.2,4.8,4.5
