Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Willie Sojourner,,3.5,3,2.4,1.9,NA,NA,NA,NA,NA
Boban Marjanović,89.5,3.4,3,1.7,1.5,NA,NA,NA,NA,NA
Bob Hopkins,88.0,3.5,2.7,1.9,1.4,NA,NA,NA,NA,NA
George Peeples,84.8,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA
Kleggie Hermsen,83.3,4.3,3,2.9,1.9,-0.5,NA,NA,NA,NA
Victor Alexander,80.4,3,2.5,2.3,1.1,-0.1,NA,NA,NA,NA
Ekpe Udoh,80.3,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Brad Sellers,78.1,3.3,3.3,2.6,0.4,0.2,0,NA,NA,NA
Bryant Reeves,77.6,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA
Art Spoelstra,75.8,3.7,1.8,1.7,1.4,NA,NA,NA,NA,NA
Jake Voskuhl,75.7,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3
