Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Willie Sojourner,,3.5,3,2.4,1.9
John Henson,96.3,3.6,3.3,2.3,1.9
Jim Barnes,95.5,3.4,2.9,2.4,2.1
Leon Douglas,94.3,3.6,3.1,2.1,2.1
Leroy Ellis,92.6,3.8,2.8,2.3,1.6
Marreese Speights,89.9,3.8,2.7,2.1,1.7
Boban Marjanović,89.5,3.4,3,1.7,1.5
Bob Hopkins,88.0,3.5,2.7,1.9,1.4
Erwin Mueller,87.7,3.5,3.2,2.5,0.9
Kleggie Hermsen,87.6,4.3,3,2.9,1.9
George Peeples,86.5,4.1,3.2,2.1,1.5
