Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Paul McCracken,,0.5,0,0,NA,NA
Clay Johnson,82.8,0.6,0.1,0,NA,NA
Carl Thomas,69.9,0.7,0,0,NA,NA
Joe Young,63.1,0.5,-0.1,-0.1,NA,NA
Othyus Jeffers,60.1,0.7,0.1,0.1,NA,NA
Tom Ingelsby,59.7,0.7,0.1,0,NA,NA
Michael Phelps,50.3,0.3,0.1,-0.1,NA,NA
Phil Pressey,48.8,0.8,0.1,-0.1,NA,NA
Gus Bailey,48.7,0.5,0.2,0.2,0,0
Anthony Jones,47.5,0.5,0.3,0,NA,NA
James White,45.0,0.5,0.3,0,NA,NA
