,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1963-64,24,BAL,NBA,,3,,4,7,,,,10
Career,,,,,3,,4,7,,,,10
