Season,Team,Lg,Salary
1992-93,Washington Bullets,NBA,"$1,250,000"
1993-94,Washington Bullets,NBA,"$1,625,000"
1994-95,Golden State Warriors,NBA,"$1,625,000"
1995-96,Minnesota Timberwolves,NBA,"$4,500,000"
1996-97,Minnesota Timberwolves,NBA,"$5,000,000"
1997-98,Minnesota Timberwolves,NBA,"$5,500,000"
1998-99,Phoenix Suns,NBA,"$7,800,000"
1999-00,Phoenix Suns,NBA,"$8,558,535"
2000-01,Phoenix Suns,NBA,"$9,360,000"
2001-02,Phoenix Suns,NBA,"$10,114,000"
2002-03,Phoenix Suns,NBA,"$10,892,000"
2003-04,Phoenix Suns,NBA,"$11,670,000"
2004-05,Boston Celtics,NBA,"$2,700,000"
Career,(may be incomplete),,"$80,594,535"
