Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Tom Gugliotta,,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9,0.4,0.4,0.3
Jim Washington,92.6,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0,NA,NA
Bill Bradley,90.7,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,NA,NA,NA
Ed Davis,89.7,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA,NA,NA
Terry Tyler,89.0,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA,NA
Junior Bridgeman,88.9,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA
Cliff Levingston,88.8,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA,NA
Gus Johnson,88.7,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA,NA,NA
John Salley,87.7,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA,NA
Rod Higgins,87.6,5.9,5.7,5.3,5,3.8,3.7,2.5,2,1.4,1.3,1,0.1,0
Bruce Bowen,87.2,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0,0
