Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Sebastian Telfair,,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4
Royal Ivey,76.2,1,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0
Michael Carter-Williams,61.1,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA
Brook Steppe,59.6,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA
Howard Komives,55.5,1.5,1.4,1,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8
John Wetzel,54.6,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA,NA
Rex Walters,52.5,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA
John Warren,49.1,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA
Mitchell Butler,45.0,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2,NA,NA
Pat Riley,44.7,1.3,1.1,1,1,0.6,0.3,0,-0.3,-0.6,NA
Ronnie Price,44.3,1.1,0.9,0.7,0.4,0.1,0.1,0.1,-0.1,-0.2,-0.7
