,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,29,NJN,NBA,SF,25,356,,33%,63%,4%,,-0.5,+1.3,4,4,15,0,5,0,41,1,2
2005-06,30,WAS,NBA,SG,17,131,20%,52%,27%,,,-2.3,-4.5,4,1,8,1,0,0,20,0,0
2007-08,32,TOT,NBA,SF,11,42,,41%,58%,,,-13.0,-10.1,1,3,4,0,1,0,0,0,0
2007-08,32,NJN,NBA,SF,4,8,,15%,83%,2%,,+6.3,+12.0,1,0,0,0,1,0,0,0,0
2007-08,32,CLE,NBA,SF,7,34,,48%,53%,,,-18.2,-18.3,0,3,4,0,0,0,0,0,0
Career,,,NBA,,53,529,5%,39%,54%,3%,,-1.9,-1.0,9,8,27,1,6,0,61,1,2
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,29,364,,33%,63%,4%,,-0.4,+1.6,5,4,15,0,6,0,41,1,2
1 season,,WAS,NBA,,17,131,20%,52%,27%,,,-2.3,-4.5,4,1,8,1,0,0,20,0,0
1 season,,CLE,NBA,,7,34,,48%,53%,,,-18.2,-18.3,0,3,4,0,0,0,0,0,0
