,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2005-06,23,MEM,NBA,PF,68,724,,,5%,93%,3%,-5.0,-11.7,14,17,57,11,55,6,70,13,36
2006-07,24,MEM,NBA,PF,82,2152,,,2%,94%,4%,-9.3,-7.9,40,57,115,34,185,19,177,37,58
2007-08,25,MEM,NBA,PF,75,1754,,,5%,86%,9%,-13.4,-12.1,18,29,73,21,124,13,125,28,36
2008-09,26,MEM,NBA,PF,82,2029,,,,92%,7%,-4.6,+2.4,18,34,69,29,177,14,157,28,55
2009-10,27,TOT,NBA,PF,76,1557,,,11%,86%,4%,-5.2,-6.8,24,28,57,15,129,19,123,24,28
2009-10,27,MIL,NBA,PF,48,1024,,,,95%,5%,-4.9,-9.3,19,16,34,13,82,11,84,16,20
2009-10,27,CHI,NBA,PF,28,533,,,32%,67%,1%,-5.9,-5.0,5,12,23,2,47,8,39,8,8
2010-11,28,PHO,NBA,PF,80,1416,,,5%,90%,5%,-5.1,-6.6,21,25,33,22,132,11,160,20,34
2011-12,29,PHO,NBA,PF,35,503,,,25%,74%,1%,-13.9,-16.1,13,12,12,8,42,2,65,5,10
2012-13,30,TOT,NBA,PF,28,489,,,1%,96%,3%,-13.1,-6.0,9,10,12,6,40,1,54,4,21
2012-13,30,NOH,NBA,PF,1,7,,,,100%,,-31.3,-26.7,0,0,0,0,1,0,0,0,0
2012-13,30,CHA,NBA,PF,27,482,,,1%,96%,3%,-12.8,-3.1,9,10,12,6,39,1,54,4,21
Career,,,NBA,,526,10624,,,5%,90%,5%,-8.0,-6.8,157,212,428,146,884,85,931,159,278
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,307,6659,,,3%,91%,6%,-8.5,-6.3,90,137,314,95,541,52,529,106,185
2 seasons,,PHO,NBA,,115,1919,,,10%,86%,4%,-7.4,-9.1,34,37,45,30,174,13,225,25,44
1 season,,MIL,NBA,,48,1024,,,,95%,5%,-4.9,-9.3,19,16,34,13,82,11,84,16,20
1 season,,CHI,NBA,,28,533,,,32%,67%,1%,-5.9,-5.0,5,12,23,2,47,8,39,8,8
1 season,,CHA,NBA,,27,482,,,1%,96%,3%,-12.8,-3.1,9,10,12,6,39,1,54,4,21
1 season,,NOH,NBA,,1,7,,,,100%,,-31.3,-26.7,0,0,0,0,1,0,0,0,0
