Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jared Cunningham,,0.1,0.1,0,0
Awvee Storey,57.7,0.2,0.1,0,NA
Jimmy Oliver,51.2,0.2,0.2,0,-0.1
Mike Price,42.6,0.2,0.2,0.1,NA
R.J. Hunter,36.4,0.3,0.1,0,0
Ira Bowman,35.4,0.1,0.1,0,NA
Jarell Eddie,30.6,0.1,0.1,0,NA
Jay Arnette,19.2,0.1,0.1,-0.1,NA
Anthony Roberson,16.2,0.2,0.2,0.1,NA
Demetrius Jackson,10.5,0.2,0.1,-0.1,NA
Randy Woods,9.4,0.3,0.2,0.1,0.1
