,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2012-13,21,DAL,NBA,8:05,2,6,2,2,2,6,2,2,1,1,1,1,1,0,1,1,6,5.3
2013-14,22,TOT,NBA,14:10,1,6,1,3,1,5,6,6,1,2,2,2,1,0,1,3,8,8.2
2013-14,22,ATL,NBA,8:33,1,2,0,1,1,1,0,2,0,1,1,1,0,0,1,2,2,0.3
2013-14,22,SAC,NBA,14:10,1,6,1,3,1,5,6,6,1,2,2,2,1,0,0,3,8,8.2
2014-15,23,LAC,NBA,11:47,2,5,1,3,2,3,3,4,1,1,2,2,1,0,2,2,8,8.2
2015-16,24,TOT,NBA,34:32,4,10,2,4,3,6,5,6,1,4,4,4,2,1,2,4,12,9.6
2015-16,24,CLE,NBA,34:32,4,10,2,4,3,6,5,6,1,4,4,4,2,1,2,4,12,9.6
2015-16,24,MIL,NBA,15:39,2,6,1,3,1,3,4,4,0,4,4,1,1,0,2,2,7,4.3
Career,,,,34:32,4,10,2,4,3,6,6,6,1,4,4,4,2,1,2,4,12,9.6
1 Season,,CLE,NBA,34:32,4,10,2,4,3,6,5,6,1,4,4,4,2,1,2,4,12,9.6
1 Season,,LAC,NBA,11:47,2,5,1,3,2,3,3,4,1,1,2,2,1,0,2,2,8,8.2
1 Season,,DAL,NBA,8:05,2,6,2,2,2,6,2,2,1,1,1,1,1,0,1,1,6,5.3
1 Season,,SAC,NBA,14:10,1,6,1,3,1,5,6,6,1,2,2,2,1,0,0,3,8,8.2
1 Season,,ATL,NBA,8:33,1,2,0,1,1,1,0,2,0,1,1,1,0,0,1,2,2,0.3
1 Season,,MIL,NBA,15:39,2,6,1,3,1,3,4,4,0,4,4,1,1,0,2,2,7,4.3
