Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jared Cunningham,,0.1,0.1,0,0,NA
Awvee Storey,57.7,0.2,0.1,0,NA,NA
Mike Price,42.6,0.2,0.2,0.1,NA,NA
R.J. Hunter,36.4,0.3,0.1,0,0,NA
Ira Bowman,35.4,0.1,0.1,0,NA,NA
Jarell Eddie,30.6,0.1,0.1,0,NA,NA
Jimmy Oliver,23.9,0.2,0.2,0,0,-0.1
Jay Arnette,19.2,0.1,0.1,-0.1,NA,NA
Anthony Roberson,16.2,0.2,0.2,0.1,NA,NA
Demetrius Jackson,10.5,0.2,0.1,-0.1,NA,NA
Randy Woods,9.4,0.3,0.2,0.1,0.1,NA
