Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,SF,74,NA,2199,7.2,15.8,0.453,0.5,1.2,0.378,6.7,14.6,0.46,4.3,5.5,0.774,2.5,5.7,8.3,0.9,NA,2,4.2,19
1969-70,23,LAS,ABA,SF,83,NA,2639,7,16.3,0.429,0.9,2.8,0.316,6.1,13.5,0.452,3.3,4.2,0.781,2.3,5.3,7.5,2,NA,2.1,3.8,18.1
1970-71,24,UTS,ABA,SF,78,NA,1734,7.7,16.8,0.46,1,3.3,0.318,6.7,13.5,0.495,2.5,3.2,0.776,2,5.6,7.5,2.2,NA,1.5,3.6,19
1971-72,25,TOT,ABA,SF,24,NA,381,4.6,11.6,0.398,0.1,0.9,0.111,4.5,10.8,0.421,2.4,2.6,0.893,1.2,4.6,5.9,2.4,NA,2.1,3.8,11.7
1971-72,25,UTS,ABA,SF,8,NA,142,5.3,12.2,0.438,0.3,1,0.25,5.1,11.2,0.455,2.3,2.8,0.818,1.8,4.1,5.8,1,NA,1.5,4.3,13.2
1971-72,25,CAR,ABA,SF,16,NA,239,4.2,11.3,0.373,0,0.8,0,4.2,10.5,0.4,2.4,2.6,0.941,0.9,5,5.9,3.2,NA,2.4,3.5,10.8
Career,NA,,ABA,,259,NA,6953,7.1,16,0.444,0.7,2.3,0.323,6.3,13.7,0.464,3.3,4.3,0.781,2.2,5.5,7.7,1.7,NA,1.9,3.9,18.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"LAS,UTS",ABA,,243,NA,6714,7.2,16.2,0.445,0.8,2.4,0.327,6.4,13.8,0.466,3.4,4.3,0.778,2.3,5.5,7.7,1.7,NA,1.9,3.9,18.5
1 season,NA,CAR,ABA,,16,NA,239,4.2,11.3,0.373,0,0.8,0,4.2,10.5,0.4,2.4,2.6,0.941,0.9,5,5.9,3.2,NA,2.4,3.5,10.8
