Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,SF,74,NA,2199,437,964,0.453,28,74,0.378,409,890,0.46,0.468,261,337,0.774,155,349,504,57,NA,124,254,1163
1969-70,23,LAS,ABA,SF,83,NA,2639,512,1194,0.429,65,206,0.316,447,988,0.452,0.456,239,306,0.781,165,386,551,145,NA,155,280,1328
1970-71,24,UTS,ABA,SF,78,NA,1734,372,808,0.46,50,157,0.318,322,651,0.495,0.491,121,156,0.776,94,269,363,106,NA,72,173,915
1971-72,25,TOT,ABA,SF,24,NA,381,49,123,0.398,1,9,0.111,48,114,0.421,0.402,25,28,0.893,13,49,62,25,NA,22,40,124
1971-72,25,UTS,ABA,SF,8,NA,142,21,48,0.438,1,4,0.25,20,44,0.455,0.448,9,11,0.818,7,16,23,4,NA,6,17,52
1971-72,25,CAR,ABA,SF,16,NA,239,28,75,0.373,0,5,0,28,70,0.4,0.373,16,17,0.941,6,33,39,21,NA,16,23,72
Career,NA,,ABA,,259,NA,6953,1370,3089,0.444,144,446,0.323,1226,2643,0.464,0.467,646,827,0.781,427,1053,1480,333,NA,373,747,3530
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"LAS,UTS",ABA,,243,NA,6714,1342,3014,0.445,144,441,0.327,1198,2573,0.466,0.469,630,810,0.778,421,1020,1441,312,NA,357,724,3458
1 season,NA,CAR,ABA,,16,NA,239,28,75,0.373,0,5,0,28,70,0.4,0.373,16,17,0.941,6,33,39,21,NA,16,23,72
