Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
George Stone,,4.6,4.6,4.5,0.2
Armen Gilliam,89.5,5.1,4.6,4.5,1.3
Chuck Gilmur,88.5,4.6,4.5,4.3,1.7
Sly Williams,87.4,5.1,4.2,3.8,-0.1
John Block,87.2,5.5,5.1,4.1,0.2
Kristaps Porziņģis,86.6,4.5,4.4,3.2,NA
Leo Barnhorst,86.5,4.7,4.6,3.6,1.3
Keon Clark,86.4,5.3,4.2,3.7,0.2
Bill Bradley,85.8,5.4,4.9,4.7,1.1
Dino Rađa,84.2,5.9,4.5,4,-0.2
Michael Brooks,84.0,4.9,4.7,4.5,2.4
