Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,LAS,ABA,SF,74,2199,16.7,0.523,0.077,0.35,NA,NA,10.4,4,NA,10,20.6,NA,3.4,1.1,4.5,0.098
1969-70,23,LAS,ABA,SF,83,2639,15.1,0.5,0.173,0.256,NA,NA,9.2,8.1,NA,10.4,20.8,NA,2.3,2.3,4.6,0.084
1970-71,24,UTS,ABA,SF,78,1734,17,0.522,0.194,0.193,NA,NA,8.9,8.5,NA,7.6,20,NA,2.2,2.5,4.6,0.128
1971-72,25,TOT,ABA,SF,24,381,8.1,0.458,0.073,0.228,3.2,12,7.5,8,NA,14,15.5,NA,-0.1,0.3,0.2,0.021
1971-72,25,UTS,ABA,SF,8,142,9.6,0.492,0.083,0.229,4.7,9.8,7.4,3.7,NA,10.2,16,NA,0,0.1,0.1,0.045
1971-72,25,CAR,ABA,SF,16,239,7.2,0.436,0.067,0.227,2.2,13.3,7.5,10.6,NA,16.2,15.2,NA,-0.2,0.2,0,0.006
Career,NA,,ABA,,259,6953,15.7,0.511,0.144,0.268,3.2,12,9.4,6.9,NA,9.7,20.3,NA,7.7,6.2,13.9,0.096
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"LAS,UTS",ABA,,243,6714,16,0.513,0.146,0.269,4.7,9.8,9.5,6.8,NA,9.6,20.4,NA,7.9,6,13.8,0.099
1 season,NA,CAR,ABA,,16,239,7.2,0.436,0.067,0.227,2.2,13.3,7.5,10.6,NA,16.2,15.2,NA,-0.2,0.2,0,0.006
