,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,,14,,3,,,,12,13,,,,,,,,36
1969-70,23,LAS,ABA,,16,,5,,,,11,13,,,,,,,,36
1970-71,24,UTS,ABA,,13,,3,,,,8,10,,,,,,,,29
1971-72,25,TOT,ABA,,8,,1,,,,4,5,,,,,,,,19
1971-72,25,UTS,ABA,,8,,1,,,,4,4,,,,,,,,19
1971-72,25,CAR,ABA,,8,,0,,,,4,5,,,,,,,,17
Career,,,,,16,,5,,,,12,13,,,,,,,,36
4 Seasons,,"LAS,UTS",ABA,,16,,5,,,,12,13,,,,,,,,36
1 Season,,CAR,ABA,,8,,0,,,,4,5,,,,,,,,17
