Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tim Hardaway,,4.8,3.1,2.6,1.9,1.8,0.8
Todd Day,94.1,4.8,3.2,2.6,2.1,1.9,0.1
Greg Buckner,93.8,4.8,3.1,2.3,2,1.8,0.3
Slick Watts,89.2,4.7,3.3,2.7,1.2,1.2,0.8
Danny Young,88.8,4.8,3,2.9,2.4,1.8,-0.1
Bill Hanzlik,88.6,4.7,4.1,2.4,2.2,1.9,1
Jeremy Lamb,87.9,4.9,3.3,2.7,2.7,1.6,0.2
Herm Gilliam,87.2,4.9,3.4,2.9,2.5,1.4,0.4
John Battle,87.0,4,3.2,2.3,1.7,1.5,1
Winston Garland,87.0,4.5,2.9,2.4,1.8,1.7,-0.3
Evan Fournier,86.7,5.7,3.3,2.8,2.1,1.4,1
