Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tim Hardaway,,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Winston Garland,89.7,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA
Slick Watts,89.2,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA
Fred Jones,88.7,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA
Avery Bradley,87.9,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5
Todd Day,86.8,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA
Fred Carter,85.9,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA
Bob Hansen,85.8,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
Whitey Skoog,84.6,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Al Skinner,84.3,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
Chico Vaughn,83.9,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA
