Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Danny Green,,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1
John Lucas,92.4,7.9,5.9,5.7,5.2,4.8,4.3,3.9,3.2,1.3,0.4
Vinnie Johnson,91.9,7.7,5.9,5.9,4.8,4.7,4.2,4.1,2.7,2.3,0.2
K.C. Jones,89.1,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA
Devin Harris,87.4,7.5,6.5,5.6,4.2,4.2,3.7,3.3,2.7,2.7,1.6
Jrue Holiday,87.2,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2
Brian Winters,86.6,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA
Eddie Johnson,86.5,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8
Monta Ellis,86.0,9,6,4.9,4.6,4,3.6,2.6,1.3,0.5,0.2
Kendall Gill,86.0,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8
Slater Martin,85.8,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,1.4
