Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Danny Green,,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1,NA,NA,NA,NA
K.C. Jones,89.1,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA,NA,NA
Monta Ellis,87.9,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,1.1,0.5,0.2,NA,NA
Jrue Holiday,87.2,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2,NA,NA,NA,NA
Brian Winters,86.6,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA,NA,NA
Eddie Johnson,86.5,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA,NA,NA
Butch Beard,85.1,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA,NA,NA,NA
Craig Ehlo,85.1,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0
Eric Bledsoe,84.7,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA,NA,NA
D.J. Augustin,84.0,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA,NA,NA
Mike Woodson,83.7,7.8,5.7,4.2,4.2,4,3.5,3.1,0.9,0.9,0.7,-0.2,NA,NA,NA
