Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,26,TOT,ABA,C,82,2699,12.3,0.452,0,0.382,NA,NA,16.5,5,NA,NA,16.6,14.9,NA,0.4,2.2,2.6,0.046
1967-68,26,PTP,ABA,C,52,1652,10.5,0.451,0,0.417,NA,NA,15.2,3.1,NA,NA,17.5,14.3,NA,0.2,1.9,2.1,0.06
1967-68,26,OAK,ABA,C,30,1047,15.1,0.452,0,0.335,NA,NA,18.5,8,NA,NA,15.4,16,NA,0.2,0.3,0.5,0.025
1968-69,27,OAK,ABA,C,78,2095,10.8,0.496,0,0.346,NA,NA,17.2,5.5,NA,NA,25,14.5,NA,1.1,2.4,3.5,0.079
1969-70,28,WSA,ABA,C,84,2991,13.1,0.506,0,0.326,NA,NA,17.3,8.6,NA,NA,21.2,15.3,NA,2.1,1.4,3.4,0.055
1970-71,29,TOT,ABA,C,82,2934,14.3,0.494,0.005,0.306,NA,NA,17.1,9.1,NA,NA,17,17.2,NA,1.2,2.8,4,0.066
1970-71,29,CAR,ABA,C,29,892,11.5,0.468,0.003,0.284,NA,NA,17.2,8,NA,NA,22.1,16.9,NA,-0.1,0.9,0.8,0.042
1970-71,29,FLO,ABA,C,53,2042,15.6,0.504,0.006,0.315,NA,NA,17.1,9.6,NA,NA,14.8,17.3,NA,1.3,2,3.3,0.077
1971-72,30,TOT,ABA,C,84,2264,11.9,0.491,0.001,0.221,10,23.1,16.5,7.7,NA,NA,18,15.5,NA,0.5,2.2,2.7,0.058
1971-72,30,FLO,ABA,C,53,1809,12,0.484,0.002,0.219,10,23.8,16.8,7.5,NA,NA,17.2,15.9,NA,0.2,1.7,1.9,0.05
1971-72,30,UTS,ABA,C,31,455,11.3,0.524,0,0.229,10.1,20.2,15.4,8.6,NA,NA,21.2,14,NA,0.3,0.5,0.9,0.091
1972-73,31,TOT,ABA,C,17,177,2.4,0.383,0,0.25,8.8,24,16.7,6.1,NA,NA,27.7,13.3,NA,-0.2,0.2,0,-0.005
1972-73,31,UTS,ABA,C,13,100,6.2,0.446,0,0.273,8.3,26,17.7,7.4,NA,NA,19.6,12,NA,-0.1,0.1,0.1,0.038
1972-73,31,CAR,ABA,C,4,77,-2.7,0.304,0,0.222,9.3,21.4,15.4,4.4,NA,NA,35.8,15,NA,-0.2,0.1,-0.1,-0.06
Career,NA,,ABA,,427,13160,12.5,0.487,0.002,0.316,9.9,23.1,16.9,7.3,NA,NA,19.4,15.5,NA,5,11.2,16.3,0.059
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA",ABA,,192,6133,12.6,0.493,0,0.334,NA,NA,17.5,7.4,NA,NA,21.5,15.1,NA,3.4,4.1,7.4,0.058
2 seasons,NA,FLO,ABA,,106,3851,13.9,0.496,0.004,0.273,10,23.8,16.9,8.6,NA,NA,15.8,16.6,NA,1.5,3.6,5.1,0.064
1 season,NA,PTP,ABA,,52,1652,10.5,0.451,0,0.417,NA,NA,15.2,3.1,NA,NA,17.5,14.3,NA,0.2,1.9,2.1,0.06
2 seasons,NA,UTS,ABA,,44,555,10.4,0.511,0,0.236,9.8,21.2,15.8,8.4,NA,NA,21,13.6,NA,0.3,0.7,0.9,0.081
2 seasons,NA,CAR,ABA,,33,969,10.3,0.458,0.003,0.28,9.3,21.4,17.1,7.8,NA,NA,23,16.8,NA,-0.3,1,0.7,0.034
