Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ira Harge,,4,3.5,3.4,2.7,2.6,0,NA,NA
Aron Baynes,88.7,4.1,3.9,3,3,2.4,0.6,0.1,NA
Alex Len,86.0,4.5,3.4,3.2,3,1.3,0.2,NA,NA
Nerlens Noel,83.2,4.3,4,4,3,1.3,NA,NA,NA
Rick Roberson,82.0,3.6,3.5,3.2,3,1,0.4,0,NA
Leon Douglas,81.3,3.6,3.2,3.1,2.1,2.1,1,0,NA
John Henson,80.0,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Dewayne Dedmon,78.8,5.2,4,3.7,2.4,1.7,0.6,NA,NA
Jim Davis,78.7,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2
Randy Denton,78.2,5.5,4.3,3.9,3.1,3,0.4,NA,NA
Kurt Nimphius,76.3,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1
