,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,27,OAK,ABA,,7,,0,,,,6,11,,,,,,,,,16
1969-70,28,WSA,ABA,,7,,0,,,,4,5,,,,,,,,,17
1970-71,29,TOT,ABA,,10,,0,,,,5,10,,,,,,,,,21
1970-71,29,FLO,ABA,,10,,0,,,,5,10,,,,,,,,,21
1971-72,30,TOT,ABA,,4,,0,,,,3,3,,,,,,,,,11
1971-72,30,UTS,ABA,,4,,0,,,,3,3,,,,,,,,,11
Career,,,,,10,,0,,,,6,11,,,,,,,,,21
2 Seasons,,"OAK,WSA",ABA,,7,,0,,,,6,11,,,,,,,,,17
1 Season,,UTS,ABA,,4,,0,,,,3,3,,,,,,,,,11
1 Season,,FLO,ABA,,10,,0,,,,5,10,,,,,,,,,21
