Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ira Harge,,4,3.5,3.4,2.7,2.6,0
Shawn Bradley,86.9,4.2,3.5,3,3,2.9,-1.1
Alex Len,86.0,4.5,3.4,3.2,3,1.3,0.2
Jon Koncak,84.9,3.7,3.7,3.7,2.5,2.3,1.4
George Johnson,84.2,5,3.6,3.5,3.4,2,0.3
Nerlens Noel,83.2,4.3,4,4,3,1.3,NA
John Henson,82.3,4.9,3.6,3.3,2.7,2.3,1.9
Jim Davis,82.1,4.3,3.8,3.5,2.3,0.9,0.2
Rick Roberson,82.1,3.6,3.5,3.2,3,1,0.4
Clemon Johnson,81.5,4.3,4,3.7,3.5,2.2,1.2
Leon Douglas,81.4,3.6,3.2,3.1,2.1,2.1,1
