Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Michael Ruffin,,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Togo Palazzi,84.2,2,1.7,1.6,0.8,0.6,-0.2,NA,NA,NA
Richard Anderson,83.3,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA
John Wallace,82.0,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
Al Thornton,80.6,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Scott Hastings,80.4,2.1,1.5,1.3,1,0.8,0.5,0.4,0.3,0.1
Bob Brannum,79.5,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Charles Davis,79.2,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA
Jeff Ayres,78.6,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
Larry Staverman,78.3,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Kevin Séraphin,76.6,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA
