Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1962-63,25,STL,NBA,PG,1,0,25:00,2,7,0.286,0,1,0,NA,2,3,NA,NA,0,4
1963-64,26,STL,NBA,PG,1,0,14:00,1,5,0.2,1,1,1,NA,0,0,NA,NA,3,3
1964-65,27,STL,NBA,PG,1,1,20:00,2,6,0.333,4,4,1,NA,3,3,NA,NA,3,8
1966-67,29,STL,NBA,PG,1,0,16:00,2,6,0.333,2,3,0.667,NA,2,6,NA,NA,2,6
1967-68,30,STL,NBA,PG,1,1,22:00,4,10,0.4,6,8,0.75,NA,3,3,NA,NA,1,14
1968-69,31,SEA,NBA,PG,1,1,24:00,3,15,0.2,4,5,0.8,NA,7,5,NA,NA,3,10
1969-70,32,SEA,NBA,PG,1,0,17:00,5,7,0.714,2,3,0.667,NA,2,4,NA,NA,1,12
1970-71,33,SEA,NBA,PG,1,0,20:00,8,11,0.727,5,5,1,NA,1,1,NA,NA,1,21
1972-73,35,CLE,NBA,PG,1,0,24:00,3,8,0.375,1,2,0.5,NA,2,1,NA,NA,1,7
Career,NA,,NBA,,9,3,182,30,75,0.4,25,32,0.781,NA,22,26,NA,NA,15,85
