Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1960-61,23,STL,NBA,PG,75,NA,1898,333,783,0.425,214,300,0.713,NA,NA,335,212,NA,NA,215,880
1961-62,24,STL,NBA,PG,20,NA,870,140,364,0.385,84,110,0.764,NA,NA,131,116,NA,NA,63,364
1962-63,25,STL,NBA,PG,75,NA,2569,333,834,0.399,222,319,0.696,NA,NA,403,381,NA,NA,256,888
1963-64,26,STL,NBA,PG,78,NA,2526,334,808,0.413,270,365,0.74,NA,NA,335,359,NA,NA,287,938
1964-65,27,STL,NBA,PG,78,NA,2854,434,1048,0.414,416,558,0.746,NA,NA,365,431,NA,NA,283,1284
1965-66,28,STL,NBA,PG,69,NA,2692,411,954,0.431,422,532,0.793,NA,NA,322,429,NA,NA,248,1244
1966-67,29,STL,NBA,PG,78,NA,2974,448,1036,0.432,459,583,0.787,NA,NA,412,442,NA,NA,280,1355
1967-68,30,STL,NBA,PG,82,NA,3169,546,1246,0.438,546,711,0.768,NA,NA,438,679,NA,NA,255,1638
1968-69,31,SEA,NBA,PG,82,NA,3463,644,1462,0.44,547,710,0.77,NA,NA,511,674,NA,NA,294,1835
1969-70,32,SEA,NBA,PG,75,NA,2802,448,1066,0.42,438,556,0.788,NA,NA,378,683,NA,NA,212,1334
1970-71,33,SEA,NBA,PG,71,NA,2641,471,1125,0.419,461,574,0.803,NA,NA,319,654,NA,NA,201,1403
1971-72,34,SEA,NBA,PG,80,NA,2989,479,1027,0.466,480,620,0.774,NA,NA,338,766,NA,NA,209,1438
1972-73,35,CLE,NBA,PG,75,NA,2973,572,1275,0.449,394,476,0.828,NA,NA,346,628,NA,NA,221,1538
1973-74,36,CLE,NBA,PG,74,NA,2483,462,994,0.465,289,361,0.801,80,197,277,522,97,17,165,1213
1974-75,37,POR,NBA,PG,65,NA,1161,134,305,0.439,152,198,0.768,38,82,120,235,77,9,96,420
Career,NA,,NBA,,1077,NA,38064,6189,14327,0.432,5394,6973,0.774,118,279,5030,7211,174,26,3285,17772
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,STL,NBA,,555,NA,19552,2979,7073,0.421,2633,3478,0.757,NA,NA,2741,3049,NA,NA,1887,8591
4 seasons,NA,SEA,NBA,,308,NA,11895,2042,4680,0.436,1926,2460,0.783,NA,NA,1546,2777,NA,NA,916,6010
2 seasons,NA,CLE,NBA,,149,NA,5456,1034,2269,0.456,683,837,0.816,80,197,623,1150,97,17,386,2751
1 season,NA,POR,NBA,,65,NA,1161,134,305,0.439,152,198,0.768,38,82,120,235,77,9,96,420
