Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1960-61,23,STL,NBA,PG,75,1898,13.4,0.481,0.383,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,4.9,0.123,NA,NA,NA,NA,NA
1961-62,24,STL,NBA,PG,20,870,11.8,0.441,0.302,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.4,0.022,NA,NA,NA,NA,NA
1962-63,25,STL,NBA,PG,75,2569,12.1,0.456,0.382,NA,NA,NA,NA,NA,NA,NA,0.4,3.6,4,0.075,NA,NA,NA,NA,NA
1963-64,26,STL,NBA,PG,78,2526,12.5,0.484,0.452,NA,NA,NA,NA,NA,NA,NA,2.4,2.6,5,0.094,NA,NA,NA,NA,NA
1964-65,27,STL,NBA,PG,78,2854,15.6,0.496,0.532,NA,NA,NA,21.6,NA,NA,NA,4.6,3.5,8.1,0.135,NA,NA,NA,NA,NA
1965-66,28,STL,NBA,PG,69,2692,15.9,0.524,0.558,NA,NA,NA,21.9,NA,NA,NA,5.4,2.2,7.6,0.135,NA,NA,NA,NA,NA
1966-67,29,STL,NBA,PG,78,2974,15.6,0.524,0.563,NA,NA,NA,19.6,NA,NA,NA,5.2,2.4,7.6,0.123,NA,NA,NA,NA,NA
1967-68,30,STL,NBA,PG,82,3169,19,0.525,0.571,NA,NA,NA,30.2,NA,NA,NA,6.3,3.8,10.1,0.153,NA,NA,NA,NA,NA
1968-69,31,SEA,NBA,PG,82,3463,18.4,0.517,0.486,NA,NA,NA,27.5,NA,NA,NA,6.8,2.2,9,0.125,NA,NA,NA,NA,NA
1969-70,32,SEA,NBA,PG,75,2802,17.3,0.509,0.522,NA,NA,NA,31.3,NA,NA,NA,3,1.9,4.9,0.084,NA,NA,NA,NA,NA
1970-71,33,SEA,NBA,PG,71,2641,19,0.509,0.51,NA,NA,5.5,33,NA,NA,NA,4.1,1.7,5.7,0.104,NA,NA,NA,NA,NA
1971-72,34,SEA,NBA,PG,80,2989,20.3,0.553,0.604,NA,NA,5.4,35.8,NA,NA,NA,7.2,2.4,9.6,0.154,NA,NA,NA,NA,NA
1972-73,35,CLE,NBA,PG,75,2973,19.3,0.518,0.373,NA,NA,5.6,31.4,NA,NA,NA,5.7,3.9,9.5,0.154,NA,NA,NA,NA,NA
1973-74,36,CLE,NBA,PG,74,2483,18.7,0.526,0.363,3.1,8.6,5.7,30.9,1.8,0.4,NA,5.2,1.4,6.5,0.126,NA,2.5,-0.6,1.9,2.4
1974-75,37,POR,NBA,PG,65,1161,16.6,0.536,0.649,3.6,7.1,5.4,27.2,3,0.4,NA,1.5,1.2,2.7,0.111,NA,0.6,0.7,1.3,1
Career,NA,,NBA,,1077,38064,16.8,0.511,0.487,3.3,8.1,5.5,28.3,2.2,0.4,NA,60.2,35.4,95.5,0.12,NA,1.9,-0.2,1.7,3.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,STL,NBA,,555,19552,14.9,0.499,0.492,NA,NA,NA,23.5,NA,NA,NA,26.8,20.8,47.6,0.117,NA,NA,NA,NA,NA
4 seasons,NA,SEA,NBA,,308,11895,18.7,0.521,0.526,NA,NA,5.5,31.7,NA,NA,NA,21,8.2,29.2,0.118,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,149,5456,19,0.522,0.369,3.1,8.6,5.7,31.2,1.8,0.4,NA,10.8,5.2,16.1,0.141,NA,2.5,-0.6,1.9,2.4
1 season,NA,POR,NBA,,65,1161,16.6,0.536,0.649,3.6,7.1,5.4,27.2,3,0.4,NA,1.5,1.2,2.7,0.111,NA,0.6,0.7,1.3,1
