Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kelvin Ransey,,3.8,3.7,3.4,2.8,2.2,2,NA,NA,NA,NA
Gerald Henderson,87.7,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA
Art Williams,86.9,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA
Marcus Thornton,86.2,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA
Adrian Griffin,85.0,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA
Billy McKinney,84.8,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA,NA
Todd Day,81.8,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA
Darrell Griffith,81.8,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0
Maurice Evans,81.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Mickaël Piétrus,80.7,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0
Rod Thorn,80.7,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA
