Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kelvin Ransey,,3.8,3.7,3.4,2.8,2.2,2
Marcus Thornton,90.9,4,3.8,3.5,3.2,2,1.2
Ernie Grunfeld,88.4,4.3,4.3,3.5,2.5,2.2,1.4
Mike Glenn,87.9,4.4,2.9,2.8,2.8,2.1,1.9
Trent Tucker,87.8,4,4,3.4,3.3,3,2.9
Scott Brooks,87.5,4.6,3.3,2.9,2.7,2.6,2.1
John Mengelt,87.3,4,3.9,3.7,3.5,3.2,2.3
Darrell Walker,86.8,3.8,3.7,2.8,2.3,2.1,0.8
Rod Thorn,86.4,3.5,3.4,2.9,2.3,2.1,1.4
Mike Gale,86.1,4.7,4,3.9,3.4,2.6,2
C.J. Watson,86.0,3.8,3.3,3.1,2.6,2.1,0.4
