Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1961-62,24,CIN,NBA,C,4,128,17.6,0.611,1.2,NA,NA,NA,7.4,NA,0.4,0,0.4,0.157
1962-63,25,CIN,NBA,C,12,394,15.9,0.499,0.438,NA,NA,NA,5.7,NA,0.4,0.2,0.6,0.07
1963-64,26,CIN,NBA,C,10,363,12.4,0.422,0.324,NA,NA,NA,8.4,NA,-0.2,0.3,0.1,0.016
1964-65,27,CIN,NBA,C,4,123,11,0.483,0.229,NA,NA,NA,9.5,NA,0.1,0,0.1,0.039
1965-66,28,CIN,NBA,C,5,139,7.4,0.451,0.316,NA,NA,NA,2.1,NA,0,0,0,0.008
1966-67,29,BOS,NBA,C,5,38,13.3,0.397,0.129,NA,NA,NA,12.5,NA,-0.1,0,0,-0.038
1967-68,30,BOS,NBA,C,16,162,7.9,0.411,0.492,NA,NA,NA,4.8,NA,-0.2,0.2,0,-0.005
Career,NA,,NBA,,56,1347,12.8,0.466,0.411,NA,NA,NA,6.6,NA,0.5,0.7,1.2,0.042
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CIN,NBA,,35,1147,13.4,0.479,0.42,NA,NA,NA,6.7,NA,0.8,0.5,1.2,0.052
2 seasons,NA,BOS,NBA,,21,200,8.9,0.407,0.367,NA,NA,NA,6.3,NA,-0.3,0.2,0,-0.011
