Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,24,CHI,NBA,SF,1,NA,4,0,2,0,0,0,NA,1,2,3,0,0,0,NA,1,0
Career,NA,,NBA,,1,NA,4,0,2,0,0,0,NA,1,2,3,0,0,0,NA,1,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,1,NA,4,0,2,0,0,0,NA,1,2,3,0,0,0,NA,1,0
