Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1976-77,24,TOT,NBA,SF,37,262,13.2,0.491,0.146,10.2,16.1,13.1,13.7,1.5,0,NA,NA,NA,0.2,0.3,0.5,0.093,NA,-1.6,0,-1.6,0.1
1976-77,24,HOU,NBA,SF,2,7,3.5,0,0,16.2,0,7.8,16,6.8,0,NA,NA,NA,0,0,0,-0.256,NA,-4.6,0,-4.5,0
1976-77,24,CHI,NBA,SF,35,255,13.5,0.502,0.149,10.1,16.5,13.3,13.7,1.3,0,NA,NA,NA,0.2,0.3,0.5,0.102,NA,-1.5,0,-1.6,0.1
1978-79,26,DEN,NBA,SF,20,128,6.5,0.431,0.116,10.7,12.1,11.4,8.3,1.8,0,22.3,17.5,NA,-0.2,0.1,0,-0.014,NA,-4.2,-0.6,-4.8,-0.1
Career,NA,,NBA,,57,390,11,0.472,0.136,10.4,14.8,12.6,12,1.6,0,22.3,17.5,NA,0,0.5,0.5,0.058,NA,-2.5,-0.2,-2.7,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,35,255,13.5,0.502,0.149,10.1,16.5,13.3,13.7,1.3,0,NA,NA,NA,0.2,0.3,0.5,0.102,NA,-1.5,0,-1.6,0.1
1 season,NA,DEN,NBA,,20,128,6.5,0.431,0.116,10.7,12.1,11.4,8.3,1.8,0,22.3,17.5,NA,-0.2,0.1,0,-0.014,NA,-4.2,-0.6,-4.8,-0.1
1 season,NA,HOU,NBA,,2,7,3.5,0,0,16.2,0,7.8,16,6.8,0,NA,NA,NA,0,0,0,-0.256,NA,-4.6,0,-4.5,0
