,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1976-77,24,TOT,NBA,,0,2,0,0,1,2,3,0,0,0,,1,0,
1976-77,24,CHI,NBA,,0,2,0,0,1,2,3,0,0,0,,1,0,
Career,,,,,0,2,0,0,1,2,3,0,0,0,,1,0,
