,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,,10,,0,,,,7,10,,,,,,,22
1968-69,25,KEN,ABA,,5,,0,,,,3,4,,,,,,,11
1969-70,26,KEN,ABA,,12,,0,,,,6,8,,,,,,,28
1970-71,27,TOT,ABA,,2,,0,,,,0,0,,,,,,,4
1970-71,27,UTS,ABA,,2,,0,,,,0,0,,,,,,,4
Career,,,,,12,,0,,,,7,10,,,,,,,28
2 Seasons,,KEN,ABA,,12,,0,,,,6,8,,,,,,,28
1 Season,,MNM,ABA,,10,,0,,,,7,10,,,,,,,22
1 Season,,UTS,ABA,,2,,0,,,,0,0,,,,,,,4
