Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Smith,,4.6,3.3,1.4,0.2
Michael Beasley,94.5,4.6,3.4,1.7,0.5
Jaylen Brown,92.8,4.5,3,1.5,NA
Jarron Collins,88.5,4.2,3.3,1.1,0.7
Landry Fields,88.2,5.3,3.4,1.1,0.4
Tom Van Arsdale,88.2,4.8,3.1,1.4,1
Chris Wilcox,86.0,4.4,2.6,1.3,0.6
Marv Roberts,85.9,4.3,3.4,2.4,0.4
Joe Caldwell,84.4,3.7,3.3,2,0.3
Danny Fortson,84.4,4.4,3.5,1.9,1.1
Robert Covington,83.8,4,3.1,2,0.1
