Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sam Smith,,4.6,3.3,1.4,0.2,NA
Jaylen Brown,92.8,4.5,3,1.5,NA,NA
Larry Stewart,91.1,4.7,2.9,1.6,0.5,0.1
Landry Fields,85.7,5.3,3.4,1.1,0.4,0.3
Leonard Gray,82.4,4.1,4,1.8,NA,NA
Travis Grant,81.3,5.6,4.1,1.5,0.5,NA
Tony Jaros,81.0,4.4,2.2,1.3,0.6,NA
Collis Jones,80.4,4.2,3.2,2.1,1.2,NA
Dāvis Bertāns,80.3,4,3.1,2.3,NA,NA
Wally Osterkorn,79.9,4.3,4,1.4,-0.8,NA
Andy Johnson,79.8,4.6,1.8,1.3,0.3,NA
