Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,SF,77,NA,2175,4.7,12.4,0.379,0,0.1,0.333,4.7,12.3,0.379,3.1,4.6,0.661,NA,NA,9.7,1.3,1.6,2.8,12.5
1968-69,25,KEN,ABA,SF,62,NA,1421,4.4,11.1,0.396,0,0.3,0.1,4.4,10.8,0.403,2.9,4.4,0.663,4.3,5.6,9.9,1.6,1.8,3.6,11.7
1969-70,26,KEN,ABA,SF,81,NA,2405,4.6,10.8,0.424,0,0.1,0.25,4.6,10.8,0.425,2.4,3.7,0.655,4.5,6.3,10.8,1.6,1.8,3,11.6
1970-71,27,TOT,ABA,SF,35,NA,302,4.6,11.1,0.419,0.1,0.6,0.2,4.5,10.5,0.432,2.9,4.6,0.615,4.6,5,9.7,2.4,2.3,5,12.3
1970-71,27,KEN,ABA,SF,25,NA,259,4.6,10.1,0.452,0,0.3,0,4.6,9.9,0.465,3.1,4.9,0.629,4,5.4,9.5,2.2,2.5,4.7,12.2
1970-71,27,UTS,ABA,SF,10,NA,43,5,16.7,0.3,0.8,2.5,0.333,4.2,14.2,0.294,1.7,3.3,0.5,8.4,2.5,10.9,3.3,0.8,6.7,12.6
Career,NA,,ABA,,255,NA,6303,4.6,11.4,0.401,0,0.1,0.2,4.6,11.3,0.403,2.8,4.2,0.657,4.4,5.9,10.1,1.6,1.7,3.2,12
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KEN,ABA,,168,NA,4085,4.5,10.9,0.416,0,0.1,0.125,4.5,10.7,0.42,2.6,4,0.656,4.4,6,10.4,1.7,1.9,3.3,11.7
1 season,NA,MNM,ABA,,77,NA,2175,4.7,12.4,0.379,0,0.1,0.333,4.7,12.3,0.379,3.1,4.6,0.661,NA,NA,9.7,1.3,1.6,2.8,12.5
1 season,NA,UTS,ABA,,10,NA,43,5,16.7,0.3,0.8,2.5,0.333,4.2,14.2,0.294,1.7,3.3,0.5,8.4,2.5,10.9,3.3,0.8,6.7,12.6
