Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,SF,77,NA,28.2,3.7,9.7,0.379,0,0.1,0.333,3.7,9.7,0.379,0.38,2.4,3.6,0.661,NA,NA,7.6,1.1,1.2,2.2,9.8
1968-69,25,KEN,ABA,SF,62,NA,22.9,2.8,7,0.396,0,0.2,0.1,2.8,6.9,0.403,0.397,1.8,2.8,0.663,2.7,3.6,6.3,1,1.1,2.3,7.4
1969-70,26,KEN,ABA,SF,81,NA,29.7,3.8,8.9,0.424,0,0,0.25,3.8,8.9,0.425,0.425,2,3.1,0.655,3.7,5.2,8.9,1.3,1.5,2.5,9.6
1970-71,27,TOT,ABA,SF,35,NA,8.6,1.1,2.7,0.419,0,0.1,0.2,1.1,2.5,0.432,0.425,0.7,1.1,0.615,1.1,1.2,2.3,0.6,0.5,1.2,2.9
1970-71,27,KEN,ABA,SF,25,NA,10.4,1.3,2.9,0.452,0,0.1,0,1.3,2.8,0.465,0.452,0.9,1.4,0.629,1.2,1.6,2.7,0.6,0.7,1.4,3.5
1970-71,27,UTS,ABA,SF,10,NA,4.3,0.6,2,0.3,0.1,0.3,0.333,0.5,1.7,0.294,0.325,0.2,0.4,0.5,1,0.3,1.3,0.4,0.1,0.8,1.5
Career,NA,,ABA,,255,NA,24.7,3.1,7.9,0.401,0,0.1,0.2,3.1,7.8,0.403,0.402,1.9,2.9,0.657,2.9,3.8,7,1.1,1.2,2.2,8.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KEN,ABA,,168,NA,24.3,3.1,7.3,0.416,0,0.1,0.125,3,7.3,0.42,0.417,1.8,2.7,0.656,3,4,7,1.1,1.3,2.3,7.9
1 season,NA,MNM,ABA,,77,NA,28.2,3.7,9.7,0.379,0,0.1,0.333,3.7,9.7,0.379,0.38,2.4,3.6,0.661,NA,NA,7.6,1.1,1.2,2.2,9.8
1 season,NA,UTS,ABA,,10,NA,4.3,0.6,2,0.3,0.1,0.3,0.333,0.5,1.7,0.294,0.325,0.2,0.4,0.5,1,0.3,1.3,0.4,0.1,0.8,1.5
