,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,,12,,1,,,,11,15,,,,,,,29
1968-69,25,KEN,ABA,,9,,1,,,,9,11,,,,,,,25
1969-70,26,KEN,ABA,,10,,1,,,,7,9,,,,,,,27
1970-71,27,TOT,ABA,,4,,1,,,,4,6,,,,,,,11
1970-71,27,KEN,ABA,,4,,0,,,,4,6,,,,,,,11
1970-71,27,UTS,ABA,,2,,1,,,,1,1,,,,,,,5
Career,,,,,12,,1,,,,11,15,,,,,,,29
3 Seasons,,KEN,ABA,,10,,1,,,,9,11,,,,,,,27
1 Season,,MNM,ABA,,12,,1,,,,11,15,,,,,,,29
1 Season,,UTS,ABA,,2,,1,,,,1,1,,,,,,,5
