Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dwight Davis,,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Derrek Dickey,93.4,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Frank Kaminsky,92.2,3.6,3.3,2.3,1.8,NA,NA,NA,NA
Dave Budd,90.9,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Stacey King,89.9,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Eddie Griffin,89.6,3.9,3.2,2.4,1.5,-0.2,NA,NA,NA
Reggie Johnson,89.4,3.9,3,2.4,1.6,NA,NA,NA,NA
Bill Garnett,89.2,3.9,3.5,2,1.5,NA,NA,NA,NA
Chuck Cooper,88.0,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Marv Roberts,87.9,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA
Jahidi White,87.6,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA
