Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dwight Davis,,3.7,3.3,2.3,1.5,0.6
Luke Walton,93.5,3.8,3.2,2,1.6,0.5
Derrek Dickey,93.4,3.8,3.1,2.3,1.7,0.3
Scott Williams,92.8,3.9,3.1,2.3,1.7,0.9
Antoine Carr,92.6,3.8,3.3,2.2,2.1,0.7
Frank Kaminsky,92.2,3.6,3.3,2.3,1.8,NA
Stacey King,91.5,3.6,3.1,1.9,1.5,0.9
Dave Budd,90.9,4.1,3.2,2.3,1.2,0.9
Phil Jackson,90.5,4.2,3.2,2.5,1.7,0.5
Bingo Smith,89.8,4.2,3.3,2.4,1.6,1.1
Eddie Griffin,89.6,3.9,3.2,2.4,1.5,-0.2
