Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1975-76,26,GSW,NBA,PF,11,NA,142,5.2,12,0.432,5.8,7.1,0.818,2.9,6.2,9.1,3.2,1,1.3,9.1,16.2,NA,NA,102
Career,NA,,NBA,,11,NA,142,5.2,12,0.432,5.8,7.1,0.818,2.9,6.2,9.1,3.2,1,1.3,9.1,16.2,NA,NA,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,GSW,NBA,,11,NA,142,5.2,12,0.432,5.8,7.1,0.818,2.9,6.2,9.1,3.2,1,1.3,9.1,16.2,NA,NA,102
